label,trades,candidate,dimension,bucket,split,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median
C|N8|60m|oneshot|displacement=<0.5 ATR,58,C|N8|60m|oneshot,displacement,<0.5 ATR,train,54.8,4,0.4138,0.2414,-1.0359,-1.0,0.0474,0.0161,0.00068,0.0641,0.1773,14.0,10.3,1.286,1.412,11.1,2.8858,0.266,56.9,41.4,58.6,0.0,1701.0,0.17,0.7414,0.6207,0.3966,8.0,480.0,900.0,0.244,0.569,9.5,1.555
C|N8|60m|oneshot|displacement=0.5-1 ATR,52,C|N8|60m|oneshot,displacement,0.5-1 ATR,train,45.0,4,0.3846,0.1538,-1.0393,-1.0,0.0466,0.0158,0.01653,0.0789,0.075,8.0,3.9,1.113,1.25,7.4,3.2984,0.513,48.1,38.5,61.5,0.0,1530.0,0.15,0.7115,0.5,0.3846,8.0,480.0,960.0,0.816,0.392,9.0,0.989
C|N8|60m|oneshot|displacement=1-2 ATR,46,C|N8|60m|oneshot,displacement,1-2 ATR,train,43.0,4,0.3478,0.0435,-1.0274,-1.0,0.0429,0.0145,-0.00262,0.0548,-0.0113,2.0,-0.5,0.983,1.067,10.9,3.4917,1.261,41.3,34.8,65.2,0.0,1470.5,0.14,0.6304,0.5217,0.3478,8.0,480.0,960.0,1.455,0.385,6.5,1.457
C|N8|60m|oneshot|displacement=>2 ATR,99,C|N8|60m|oneshot,displacement,>2 ATR,train,99.0,4,0.4141,0.2424,-1.0296,-1.0,0.0428,0.0145,0.00546,0.0628,0.1796,24.0,17.8,1.29,1.414,6.3,3.5309,0.259,51.5,41.4,58.6,0.0,2847.0,0.29,0.7071,0.5758,0.4141,8.0,480.0,780.0,4.277,0.388,9.0,1.661
C|N8|60m|oneshot|break=<0.5 ATR,140,C|N8|60m|oneshot,break,<0.5 ATR,train,138.3,4,0.3929,0.1786,-1.033,-1.0,0.0485,0.0164,-2e-05,0.0649,0.1137,25.0,15.9,1.176,1.294,13.3,2.9448,0.363,46.4,39.3,60.7,0.0,1784.5,0.4,0.6857,0.5571,0.3929,8.0,480.0,900.0,1.427,0.199,9.0,1.499
C|N8|60m|oneshot|break=0.5-1 ATR,67,C|N8|60m|oneshot,break,0.5-1 ATR,train,66.5,4,0.3731,0.1194,-1.0296,-1.0,0.039,0.0132,0.01121,0.0634,0.056,8.0,3.7,1.085,1.19,9.9,3.58,0.531,53.7,37.3,62.7,0.0,2190.0,0.19,0.7164,0.5224,0.3582,8.0,480.0,780.0,1.266,0.721,9.0,1.298
C|N8|60m|oneshot|break=1-2 ATR,36,C|N8|60m|oneshot,break,1-2 ATR,train,32.7,4,0.4444,0.3333,-1.0298,-1.0,0.0409,0.0139,0.01419,0.0689,0.2644,12.0,9.5,1.443,1.6,6.6,3.6726,0.207,58.3,44.4,55.6,0.0,1288.5,0.1,0.7222,0.6389,0.4444,8.0,480.0,990.0,1.16,1.245,7.5,1.617
C|N8|60m|oneshot|swing_spacing=bars<=med,143,C|N8|60m|oneshot,swing_spacing,bars<=med,train,132.1,4,0.3986,0.1958,-1.0318,-1.0,0.0423,0.0143,0.0038,0.0605,0.1353,28.0,19.4,1.214,1.326,10.8,3.3977,0.309,48.3,39.9,60.1,0.0,1639.0,0.41,0.6923,0.5594,0.3986,8.0,480.0,900.0,1.401,0.394,5.0,1.466
C|N8|60m|oneshot|swing_spacing=bars>med,114,C|N8|60m|oneshot,swing_spacing,bars>med,train,108.4,4,0.3947,0.1842,-1.0306,-1.0,0.0476,0.0161,0.007,0.0708,0.1134,21.0,12.9,1.175,1.304,11.2,3.0515,0.384,53.5,39.5,60.5,0.0,2347.0,0.33,0.7193,0.5702,0.386,8.0,480.0,840.0,1.088,0.423,13.0,1.492
A|N8|15m|oneshot|displacement=<0.5 ATR,133,A|N8|15m|oneshot,displacement,<0.5 ATR,train,115.9,4,0.3308,-0.0075,-1.1113,-1.0,0.214,0.0725,0.00286,0.2894,-0.2969,-1.0,-39.5,0.656,0.989,48.3,1.0533,,100.0,33.1,66.9,0.0,263.0,0.38,0.7143,0.4887,0.3308,8.0,120.0,135.0,0.241,-1.474,9.0,0.991
A|N8|15m|oneshot|displacement=0.5-1 ATR,125,A|N8|15m|oneshot,displacement,0.5-1 ATR,train,121.3,4,0.296,-0.112,-1.0944,-1.0,0.1687,0.0572,0.00345,0.2294,-0.3414,-14.0,-42.7,0.602,0.841,48.8,0.8993,,100.0,29.6,70.4,0.0,235.0,0.36,0.704,0.52,0.296,8.0,120.0,135.0,0.733,-1.649,9.0,1.074
